forecast_time,station_id,station_name,longitude,latitude,elevation,temperature,maximumtemperature,minimumtemperature
2017060618,1001,Jan Mayen,-8.6667,70.9331,9,3.4,3.5,1.6
2017060618,1002,Verlegenhuken,16.2500,80.0592,8,2.4,4.9,-0.2
2017060618,1003,Hornsund,15.5000,77.0000,11,1.8,4.1,1.2
2017060618,1006,Edgeoya,22.8225,78.2505,14,0.1,0.9,-1.0
2017060618,1007,Ny-Alesund,11.9331,78.9228,8,3.8,7.0,4.4
2017060618,1008,Svalbard lufthavn,15.4667,78.2500,27,3.7,5.3,2.3
2017060618,1010,Andoya,16.1308,69.3072,13,10.7,13.2,
2017060618,1015,Hekkingen Lh,17.8372,69.6005,14,10.1,11.1,7.9
2017060618,1016,Kongsoya,28.8919,78.9275,20,-0.3,0.4,-1.8
2017060618,1017,Akseloya,14.7839,77.6886,6,2.5,4.2,1.5
2017060618,1018,Andoya-Trolltinden,16.0030,69.2414,436,10.8,9.6,6.2
2017060618,1020,Sorkappoya,16.5486,76.4775,10,0.4,1.6,
2017060618,1023,Bardufoss,18.5400,69.0589,77,13.1,14.7,8.6
2017060618,1024,Pyramiden,16.3603,78.6555,20,4.1,6.2,
2017060618,1025,Tromso/Langnes,18.9130,69.6767,9,11.4,12.4,8.4
2017060618,1026,Tromso,18.9367,69.6536,115,11.6,13.1,8.5
2017060618,1027,Tromso-Holt,18.9056,69.6522,20,11.8,13.3,8.6
2017060618,1028,Bjornoya,19.0047,74.5167,18,4.2,6.2,4.2
2017060618,1033,Torsvag Lh,19.5003,70.2456,24,11.9,12.3,8.3
2017060618,1035,Lyngen Gjerdvassbu,20.0939,69.5589,710,6.2,8.2,4.3
2017060618,1036,Nordnesfjellet,20.4253,69.5739,700,6.3,7.7,3.8
2017060618,1037,Skibotn 2,20.2822,69.3875,20,9.2,12.6,7.6
2017060618,1042,Hasvik-Sluskfjellet,22.4428,70.6069,438,7.8,8.9,6.0
2017060618,1043,Rognsundet,22.8194,70.4103,10,8.8,10.9,7.4
2017060618,1044,Hasvik Ap,22.1461,70.4861,6,9.6,12.2,8.1
2017060618,1045,Nordstraum i Kvaenangen,21.8833,69.8333,6,,10.9,7.8
2017060618,1046,Sorkjosen,20.9553,69.7886,5,9.8,11.4,8.2
2017060618,1047,Kautokeino,23.0333,68.9967,307,8.7,9.4,6.5
2017060618,1049,Alta Lufthavn,23.3580,69.9775,3,9.3,12.5,8.2
2017060618,1052,Hammerfest Ap,23.6769,70.6805,79,10.5,13.4,8.9
2017060618,1055,Fruholmen Lh,23.9817,71.0933,14,10.0,12.1,8.1
2017060618,1057,Cuovddatmohkki,24.4331,69.3669,286,,11.1,7.0
2017060618,1058,Suolovuopmi Lulit,23.5344,69.5794,381,4.1,6.6,3.8
2017060618,1059,Banak,24.9897,70.0600,8,7.9,12.6,8.1
2017060618,1062,Hopen,25.0131,76.5094,10,0.6,2.0,-0.2
2017060618,1065,Karasjok,25.5022,69.4633,131,10.7,14.9,8.9
2017060618,1068,Honningsvag Ap,25.9781,71.0106,13,10.1,13.2,9.4
2017060618,1074,Mehamn Ap,27.8297,71.0331,13,9.3,11.7,
2017060618,1076,Tanabru,28.1586,70.2122,32,11.0,16.5,10.4
2017060618,1078,Slettnes Lh,28.2173,71.0837,8,8.7,11.3,7.5
2017060618,1082,Nyrud,29.2439,69.1469,56,12.1,18.9,11.5
2017060618,1083,Berlevag Ap,29.0347,70.8708,13,7.9,11.9,6.9
2017060618,1084,Pasvik,30.0411,69.4553,27,13.0,18.8,11.8
